ChampionId,ChampionName,ChampionLane
0,No Champion, NONE
1,Annie,MID
2,Olaf,JUNGLE
3,Galio,MID
4,TwistedFate,MID
5,XinZhao,JUNGLE
6,Urgot,TOP
7,Leblanc,MID
8,Vladimir,MID
9,Fiddlesticks,JUNGLE
10,Kayle,TOP
11,MasterYi,JUNGLE
12,Alistar,SUPPORT
13,Ryze,MID
14,Sion,TOP
15,Sivir,BOTTOM
16,Soraka,SUPPORT
17,Teemo,TOP
18,Tristana,BOTTOM
19,Warwick,JUNGLE
20,Nunu,JUNGLE
21,MissFortune,BOTTOM
22,Ashe,BOTTOM
23,Tryndamere,TOP
24,Jax,TOP
25,Morgana,SUPPORT
26,Zilean,SUPPORT
27,Singed,TOP
28,Evelynn,JUNGLE
29,Twitch,BOTTOM
30,Karthus,MID
31,Chogath,TOP
32,Amumu,JUNGLE
33,Rammus,JUNGLE
34,Anivia,MID
35,Shaco,JUNGLE
36,DrMundo,TOP
37,Sona,SUPPORT
38,Kassadin,MID
39,Irelia,TOP
40,Janna,SUPPORT
41,Gangplank,TOP
42,Corki,MID
43,Karma,SUPPORT
44,Taric,SUPPORT
45,Veigar,MID
48,Trundle,JUNGLE
50,Swain,MID
51,Caitlyn,BOTTOM
53,Blitzcrank,SUPPORT
54,Malphite,TOP
55,Katarina,MID
56,Nocturne,JUNGLE
57,Maokai,TOP
58,Renekton,TOP
59,JarvanIV,JUNGLE
60,Elise,JUNGLE
61,Orianna,MID
62,MonkeyKing,TOP
63,Brand,MID
64,LeeSin,JUNGLE
67,Vayne,BOTTOM
68,Rumble,TOP
69,Cassiopeia,MID
72,Skarner,JUNGLE
74,Heimerdinger,TOP
75,Nasus,TOP
76,Nidalee,JUNGLE
77,Udyr,JUNGLE
78,Poppy,TOP
79,Gragas,JUNGLE
80,Pantheon,TOP
81,Ezreal,BOTTOM
82,Mordekaiser,TOP
83,Yorick,TOP
84,Akali,MID
85,Kennen,TOP
86,Garen,TOP
89,Leona,SUPPORT
90,Malzahar,MID
91,Talon,MID
92,Riven,TOP
96,KogMaw,BOTTOM
98,Shen,TOP
99,Lux,SUPPORT
101,Xerath,MID
102,Shyvana,JUNGLE
103,Ahri,MID
104,Graves,JUNGLE
105,Fizz,MID
106,Volibear,JUNGLE
107,Rengar,JUNGLE
110,Varus,BOTTOM
111,Nautilus,SUPPORT
112,Viktor,MID
113,Sejuani,JUNGLE
114,Fiora,TOP
115,Ziggs,MID
117,Lulu,SUPPORT
119,Draven,BOTTOM
120,Hecarim,JUNGLE
121,Khazix,JUNGLE
122,Darius,TOP
126,Jayce,TOP
127,Lissandra,MID
131,Diana,JUNGLE
133,Quinn,TOP
134,Syndra,MID
136,AurelionSol,MID
141,Kayn,JUNGLE
142,Zoe,MID
143,Zyra,SUPPORT
145,Kaisa,BOTTOM
147,Seraphine,SUPPORT
150,Gnar,TOP
154,Zac,JUNGLE
157,Yasuo,MID
161,Velkoz,SUPPORT
163,Taliyah,JUNGLE
164,Camille,TOP
166,Akshan,BOTTOM
200,Belveth,JUNGLE
201,Braum,SUPPORT
202,Jhin,BOTTOM
203,Kindred,JUNGLE
221,Zeri,BOTTOM
222,Jinx,BOTTOM
223,TahmKench,SUPPORT
233,Briar,JUNGLE
234,Viego,JUNGLE
235,Senna,SUPPORT
236,Lucian,BOTTOM
238,Zed,MID
240,Kled,TOP
245,Ekko,MID
246,Qiyana,JUNGLE
254,Vi,JUNGLE
266,Aatrox,TOP
267,Nami,SUPPORT
268,Azir,MID
350,Yuumi,SUPPORT
360,Samira,BOTTOM
412,Thresh,SUPPORT
420,Illaoi,TOP
421,RekSai,JUNGLE
427,Ivern,JUNGLE
429,Kalista,BOTTOM
432,Bard,SUPPORT
497,Rakan,SUPPORT
498,Xayah,BOTTOM
516,Ornn,TOP
517,Sylas,MID
518,Neeko,MID
523,Aphelios,BOTTOM
526,Rell,SUPPORT
555,Pyke,SUPPORT
711,Vex,MID
777,Yone,TOP
799,Ambessa,MID
800,Mel,JUNGLE
804,Yunara,MID
875,Sett,TOP
876,Lillia,JUNGLE
887,Gwen,TOP
888,Renata,SUPPORT
893,Aurora,MID
895,Nilah,BOTTOM
897,KSante,TOP
901,Smolder,JUNGLE
902,Milio,SUPPORT
904,Zaahen,JUNGLE
910,Hwei,MID
950,Naafiri,JUNGLE
